"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"10-Dec-2021","30-Dec-2021","XX","-","37,103.70","37,296.00","36,927.45","37,246.30","37,235.00","37,246.30","2912725","108,086,000,865.00","108,086,000,865.00","2261575","42700.00"
"09-Dec-2021","30-Dec-2021","XX","-","37,452.50","37,590.00","37,017.25","37,228.25","37,203.00","37,228.25","3545825","132,019,993,111.25","132,019,993,111.25","2218875","-74525.00"
"08-Dec-2021","30-Dec-2021","XX","-","37,049.00","37,475.00","37,006.60","37,402.30","37,395.50","37,402.30","3850325","143,476,294,392.50","143,476,294,392.50","2293400","-68250.00"
"07-Dec-2021","30-Dec-2021","XX","-","36,100.00","36,963.95","36,100.00","36,744.70","36,771.95","36,744.70","4628400","169,460,753,930.00","169,460,753,930.00","2361650","-237650.00"
"06-Dec-2021","30-Dec-2021","XX","-","36,484.95","36,489.10","35,839.15","35,891.00","35,892.95","35,891.00","3738975","135,173,031,206.25","135,173,031,206.25","2599300","110900.00"
"03-Dec-2021","30-Dec-2021","XX","-","36,645.00","36,966.00","36,175.00","36,350.30","36,353.95","36,350.30","4230000","154,809,042,262.50","154,809,042,262.50","2488400","115625.00"
"02-Dec-2021","30-Dec-2021","XX","-","36,401.00","36,689.95","36,282.00","36,633.00","36,655.00","36,633.00","2921550","106,608,238,288.75","106,608,238,288.75","2372775","-101200.00"
"01-Dec-2021","30-Dec-2021","XX","-","35,790.00","36,542.95","35,790.00","36,468.25","36,494.85","36,468.25","4409250","159,942,596,930.00","159,942,596,930.00","2473975","-141025.00"
"30-Nov-2021","30-Dec-2021","XX","-","36,144.75","36,849.00","35,645.70","35,780.20","35,711.00","35,780.20","5527825","200,379,943,266.25","200,379,943,266.25","2615000","102450.00"
"29-Nov-2021","30-Dec-2021","XX","-","36,230.00","36,471.00","35,459.00","36,100.45","36,062.15","36,100.45","4676000","168,666,842,305.00","168,666,842,305.00","2512550","-252525.00"
"26-Nov-2021","30-Dec-2021","XX","-","37,055.25","37,093.75","36,025.05","36,157.80","36,041.00","36,157.80","4811550","175,703,198,066.25","175,703,198,066.25","2765075","469250.00"
"25-Nov-2021","30-Dec-2021","XX","-","37,510.00","37,686.80","37,275.00","37,535.10","37,548.00","37,535.10","2609200","97,810,739,515.00","97,810,739,515.00","2295825","808325.00"
"24-Nov-2021","30-Dec-2021","XX","-","37,611.00","38,030.00","37,389.75","37,593.00","37,500.05","37,593.00","1823075","68,813,195,138.75","68,813,195,138.75","1487500","519550.00"
"23-Nov-2021","30-Dec-2021","XX","-","37,050.15","37,620.00","36,844.05","37,424.80","37,417.25","37,424.80","1101125","41,098,269,092.50","41,098,269,092.50","967950","257575.00"
"22-Nov-2021","30-Dec-2021","XX","-","38,367.15","38,368.55","36,840.20","37,348.65","37,419.00","37,348.65","979400","36,742,160,000.00","36,742,160,000.00","710375","217225.00"
"18-Nov-2021","30-Dec-2021","XX","-","38,294.15","38,473.95","38,000.05","38,253.70","38,220.00","38,253.70","538000","20,549,220,782.50","20,549,220,782.50","493150","96875.00"
"17-Nov-2021","30-Dec-2021","XX","-","38,400.05","38,728.00","38,232.25","38,315.75","38,271.95","38,315.75","226775","8,718,856,947.50","8,718,856,947.50","396275","50675.00"
"16-Nov-2021","30-Dec-2021","XX","-","39,004.75","39,004.80","38,473.35","38,586.75","38,502.00","38,586.75","347050","13,414,808,391.25","13,414,808,391.25","345600","156800.00"
"15-Nov-2021","30-Dec-2021","XX","-","39,134.95","39,332.85","38,878.10","39,018.20","38,978.00","39,018.20","130275","5,092,653,458.75","5,092,653,458.75","188800","38400.00"
"12-Nov-2021","30-Dec-2021","XX","-","38,950.00","39,105.00","38,724.00","39,030.40","39,027.00","39,030.40","103500","4,032,341,367.50","4,032,341,367.50","150400","3900.00"